example_id,source,source_row,length_bin,token_count,quality_score
9ad7e696bc13c64932fab82c002be9be42571dd4fee5947528f42a7d5b749606,smol-constraints,651,0-255,144,0.976485
0a3f68832fad3e565de4a875f154df4dceafca8711c2b02e5f21a3e5a5280ee4,smol-constraints,1036,0-255,238,0.954123
1fdbf82847d994b5071977c991ea67c87527d721c423e76cad952f343b9abe3c,smol-constraints,1599,0-255,154,0.973714
e6a1499ab24cc6b60da59af5cfff6a8847b049a7047513c22e49b7a6582cba02,smol-constraints,1611,0-255,240,0.959764
155137ead329e6d14ed22680da34f4657fcd4acc63fea0c97a5db988b1502e62,smol-constraints,1939,0-255,201,0.967122
9bdb161388526c2b74a5a329be77bb80f8bdc9fc7682c9a7db5baa04d2587d59,smol-constraints,2552,0-255,217,0.9585
716b5ce1b95120c12f334096f70e4ac31b3a8d9ed37ec60a2a4b827294989555,smol-constraints,2995,0-255,208,0.966341
6161701cfa14c11d347520fbbfdf017cd4d66b465253b441a0806064a9b4a73f,smol-constraints,3278,0-255,183,0.969428
bb312182effe4ee14651239d8370f3bd0959b90b144e34434e72f5df46a5b438,smol-constraints,4221,0-255,171,0.949167
bf87203441d23e444f47dcf5eb56624c0b93ca4829f099071f9774ff67c5be61,smol-constraints,4394,0-255,177,0.977263
db57abbdf7d1d46113f3970132f3364802ea83c1e67253cb443e798dba7cf413,smol-constraints,4582,0-255,155,0.961756
ca9b7a7f4852e4040ab1f1a490ee700f520b47b01b084dea28dcb4eecf027390,smol-constraints,5463,0-255,177,0.962699
2824422098e9249ae5678ceb3bc3f45149d9d0b5679b4f8b5f90b47598b47db4,smol-constraints,5637,0-255,155,0.984072
026dcedf228a0375864a8f0c3986c75bdb5372039cda0f02cb02279d39a9850e,smol-constraints,6004,0-255,146,0.939341
8c90ee2cba274939ee61a3cbf9383210ac19b598ce1c356ae424d0bcbb6d9bd5,smol-constraints,6087,0-255,151,0.967399
9c772bc40094e404010240eecac099e67856e03c39ec354be6f05c0deeb420af,smol-constraints,6138,0-255,208,0.979006
64dc97c1b508d77261463fe085c1301bd385c3e55e2837af38bb7091aeedb7a3,smol-constraints,6397,256-511,290,0.94179
40b5283566523684ad3fff3e09f1b5ea282692b489800a15fac7758429ed8f5b,smol-constraints,6521,512-1023,566,0.936437
e1c6c5a9f552b85a47335f230ddd2989902fdb3f656adead39ae4cebf7b758e8,smol-constraints,6975,0-255,149,0.95701
eafe8d3349a1391f5b4894d04587e6841ce1aecfa55a93a8c7fed2b6d9d319e5,smol-constraints,7192,0-255,144,0.96904
3a20fddbe9e17355218b2f15204a010458ab5f7a772756753f15c41bdd1b3894,smol-constraints,7285,256-511,256,0.956446
