example_id,source,source_row,length_bin,token_count,quality_score
9c7cde67f43e950bcd55723f02d349cfcc5f9bc8a1d6dfcc590ef491373cd438,smol-constraints,614,0-255,232,0.966577
9ad7e696bc13c64932fab82c002be9be42571dd4fee5947528f42a7d5b749606,smol-constraints,651,0-255,144,0.976485
7fa76d11a79aebb1857a47cd159c7fa41d7366d0d8362296605ea97a7d044402,smol-constraints,1391,0-255,160,0.966582
1fdbf82847d994b5071977c991ea67c87527d721c423e76cad952f343b9abe3c,smol-constraints,1599,0-255,154,0.973714
155137ead329e6d14ed22680da34f4657fcd4acc63fea0c97a5db988b1502e62,smol-constraints,1939,0-255,201,0.967122
04d3c997b280f96829f38718077db3ff0bf2d02626506929f112a4901e7d1288,smol-constraints,2115,0-255,90,0.838735
685ffc09279ee472b9f25fa5866468d240ebde5f54b80eb356315821ccb65cc6,smol-constraints,2697,0-255,143,0.972727
611a3c31962f16e4681e51498ea04b24cfa974148979451dfb1fb323a14606a0,smol-constraints,2788,0-255,162,0.9655
716b5ce1b95120c12f334096f70e4ac31b3a8d9ed37ec60a2a4b827294989555,smol-constraints,2995,0-255,208,0.966341
6161701cfa14c11d347520fbbfdf017cd4d66b465253b441a0806064a9b4a73f,smol-constraints,3278,0-255,183,0.969428
75b1a2ed9d40982e67486ec0420636468b59dfd83b1ab7a06de08648bb9c5885,smol-constraints,3760,0-255,144,0.973211
bf87203441d23e444f47dcf5eb56624c0b93ca4829f099071f9774ff67c5be61,smol-constraints,4394,0-255,177,0.977263
2824422098e9249ae5678ceb3bc3f45149d9d0b5679b4f8b5f90b47598b47db4,smol-constraints,5637,0-255,155,0.984072
d85b0f6f7d24f88e3f5daf3300de36660e8399ef7922d6df19f9c65fc04d4591,smol-constraints,5765,0-255,183,0.965075
869316e37e409e16952b2f8c8857e95a9ed074d29b1a4aa01db467729cfcdf67,smol-constraints,5785,256-511,306,0.959117
8c90ee2cba274939ee61a3cbf9383210ac19b598ce1c356ae424d0bcbb6d9bd5,smol-constraints,6087,0-255,151,0.967399
9c772bc40094e404010240eecac099e67856e03c39ec354be6f05c0deeb420af,smol-constraints,6138,0-255,208,0.979006
da631fdf48c0ae0f6ba3c653a5388edc1355871d8be44da077ed13d72b533582,smol-constraints,6569,0-255,157,0.979301
eafe8d3349a1391f5b4894d04587e6841ce1aecfa55a93a8c7fed2b6d9d319e5,smol-constraints,7192,0-255,144,0.96904
d6f8eb7256882f8352e679c262b33e4a5fcfda88df0438c4bf1d5cbdf5b65bd5,smol-constraints,7678,0-255,169,0.973302
6227349f3dbf8a19d8394b907f0173f783519941b2abafd6bf953ba97615d349,smol-constraints,7752,0-255,221,0.969556
4af0b26e649164a48bdb8db0be15a952b431e06b76d66ceeb9506a00574c76d3,smol-constraints,7939,0-255,159,0.978902
e09b3559294cd57271f557156907cd143594e2b831f1d97dfbb0ef16eb4adfd3,smol-constraints,8185,0-255,240,0.967109
3815aaa0504b5ea7d1ce6713002a03743205fdcf9b5211a816e622438c1276f0,smol-constraints,8208,256-511,302,0.966844
16179a4ad330350baf2748e00fcaf85782347ab2160f31e0b8b6a8bdce46c801,smol-constraints,8290,0-255,164,0.968332
f7ce4f0116568faab87d5bdc63654d24c5eb641b8ddd6a9aedd0bf5deea4c02f,smol-constraints,9474,0-255,134,0.967986
dfdb012eedc84b3171c5e0af5634efb56fe716b1664ca033a167beb5dcd1803a,smol-constraints,9852,0-255,146,0.967481
