example_id,source,source_row,length_bin,token_count,quality_score
9ad7e696bc13c64932fab82c002be9be42571dd4fee5947528f42a7d5b749606,smol-constraints,651,0-255,144,0.976485
2031a0fa5339b1c3aa645b382032bf0d84a3d0c957a5ee5f4b4bdf6b16d2038a,smol-constraints,1295,0-255,46,0.673571
5e39883418bae661dacd092cc1cb4f2cf80466f2dafda4da48fd909b9b13c1ce,smol-constraints,1405,0-255,149,0.909981
82ea2adc86c8e9bfbf1391b964d181b3570cb137928d62589f9e56f28c8f07f5,smol-constraints,1471,0-255,200,0.94301
44c363194b641f3e157bf87c2898564387c91a57ffd71aefd36fce7633e5d893,smol-constraints,1835,0-255,219,0.952001
1a6525ddcd772544bbeb0f337ddf79605dc4c69d975023a80c2592043e3349bd,smol-constraints,1847,0-255,146,0.942822
e1eb8cef65d7d7d93abf3720ed142d74f1c26363ac699e88ad7cc8cc7f4c2230,smol-constraints,2589,256-511,414,0.931465
6ad93d269bd8f8b99f6673b8401ec7a56c46498532b9fd9c9c9f6fc545e8657f,smol-constraints,2879,0-255,155,0.915766
6baad026a30c663ce8c4c2153864226ba80a75ba4e451fbace8368a41260aea1,smol-constraints,2958,0-255,171,0.932226
f4ac5da69201f1b69d2ab83435228ef2eb78e8ccd894a7c5d14699fb3677d7cd,smol-constraints,2963,0-255,159,0.962133
c701c3ed3f554d942f7b537b7c994ec5b1804fdada95faac78a5cf586d85fcc9,smol-constraints,3063,0-255,117,0.865232
0cca7d1c1ccbb446796b3b9f9a85dda9f1e2775717b8e2047c248a17ae259cc2,smol-constraints,3292,0-255,160,0.903872
9115020f09411c86bc09f663258d81235b581d4a2103a7cfa7ceb39fb19e23e8,smol-constraints,4690,0-255,222,0.945427
5adbd31f4f611ae73073605b6943802cecc922bb1374a298b4630bc1cd7070e0,smol-constraints,4850,0-255,92,0.858666
c4ffd361ee096ecfddb1210018ffe1afb06c88995137643a7fa74a0541b92c45,smol-constraints,5382,0-255,233,0.945514
cb6dd34c020ccee72ab43d8576fbf4781b064a631fc901cb317165156198a056,smol-constraints,7047,0-255,240,0.937726
d2079b55fa4b15ec1a244b2609d2a6ec5cc4be9180c5ecd8f55e7d9b85849d78,smol-constraints,7422,0-255,98,0.867423
85fee5f371b2ed7aaa1ef293a35bf8a95333b73bdac8b858cebb1776933dd2dd,smol-constraints,7680,256-511,431,0.912236
c19c31d05a18deba2350d4d9f8ce3de99d5e41e3bbfa94cd8034bae21fe93fb4,smol-constraints,7942,256-511,361,0.950155
c8002fdd408dcee9d067553b7b72b018f6781714d4b0e5b9d8ccbfb973e5a993,smol-constraints,8001,256-511,290,0.932811
220a99254dbaf3fef2dab4f9901f224f28e7672f5bb4f1b175a0536f9cd5aa20,smol-constraints,8289,0-255,247,0.949656
7ccd7e85f8ecf5e4deeb3f6099fb001f4bb24197937377988e3bed50e2ed119a,smol-constraints,9214,0-255,109,0.891867
f01b81e8e147b4b48585bdf71b74934610885713e9a44a0639ed3801760f0f12,smol-constraints,9259,0-255,108,0.836617
a2657d766cfec28c8b903e4ff08f8d23528bb9971f3283981ca85762617f0ec4,smol-constraints,10349,0-255,206,0.93398
eac9a7926e326492abb64d478d2ae52b9c722daffdc11c61c0474f81c06eb82a,smol-constraints,10518,256-511,257,0.947412
f8158440d28f56bbb1c9a041314bd2aeb12c0869e9cb17547bacb199750083ac,smol-constraints,10994,0-255,62,0.761037
7fdfab79a712dc61456b94978b8c8b1312ccbb5997a9999bf189b0bc84820ef1,smol-constraints,11088,256-511,290,0.921066
10e28026709acba89c86cf514c1d5e8e9b1eb56d1728d583796dcff621c9e9c3,smol-constraints,11288,0-255,153,0.891359
c6bf2ee31772d9db439eccf0c8212c9fe3846df57efb6f68cd59819ecb3bd0db,smol-constraints,11369,0-255,134,0.906612
8803b090422c6564c72ec7c15916b3eec4461de33b49dc7513caecc5deac9b83,smol-constraints,11449,0-255,176,0.90659
ca09a545addec5fd43161fcb062d48f664ce3ebe3971081f09a8a0fdb12ebe3f,smol-constraints,11643,0-255,252,0.928076
c332a1689dec9bf2b415d6fb66f6c3843593f94f4dabc65ec0e0d6c8dd318531,smol-constraints,11654,0-255,207,0.902886
11207cd48f4a2da58e948160de7f9a4f214e7a7c65681c5f25d19cf5ba7afc20,smol-constraints,11756,0-255,145,0.912556
d00bb2d65ca8763f3e374bd8deec340ffe3242a1b7e72ebb9960729fdd069581,smol-constraints,12279,0-255,91,0.854581
b35a30122437f8203b8969f64665d6ab333bfd023ecef4691eedcd590ae8b5fc,smol-constraints,13034,0-255,121,0.926816
a2af3064c3818f60c042df3bba9a9add73f754434a41fb89c2024417b19e178e,smol-constraints,13058,0-255,203,0.879279
f0909fd8c09788de707e3e87aaa4c4cd95393a1a6ec88881ab57f2ab1d2d83f5,smol-constraints,13764,0-255,142,0.890102
a59788d9119d4108635fad20fdeb3a6456874066c1cebf5cc3f56be4552fcd11,smol-constraints,13796,0-255,133,0.789409
81bb230e1d151ce88c70768fa293931de9a0540fffa15458bab507e5f30662a4,smol-constraints,13982,0-255,130,0.885683
1bd3af053414a503b4446567f66aa12193096664f3bf797baeab6156c2215d98,smol-constraints,14508,256-511,339,0.940922
3029817a3efaf4579e000d4469fc7f4069d6bbd77a1560559eebcfedcaaf480c,smol-constraints,16626,0-255,124,0.900574
3081a19ef4db646c192d9c913d990f9e4bf6d3f64782490a55f633f8c35f199d,smol-constraints,16843,0-255,173,0.976818
06e2dc719e68f33e35dc7cd43d15cebac64bc2bbae7228b4ad7caf5ca44d8a0d,smol-constraints,16974,0-255,122,0.866953
9d03750f3d9bd58a6750a63812bad529c8fb8f1953c0ac5933f8871a0d462769,smol-constraints,17591,0-255,109,0.875841
6d3584e29f33f918d91d35c2aa32a988c6541c32aefc1f69d93d187d7ad3e7ba,smol-constraints,17970,0-255,151,0.981125
af15db121c7932481d5770ce8a6fe1d204254c239e4b9ccb37fb1a577fbe803a,smol-constraints,18866,0-255,172,0.958927
6d5c6caada19e56d473667ec64b878b0e2d13fd52663220e07da02c4fd021b22,smol-constraints,19236,0-255,164,0.876725
7918987c8061c0bef2e962a00cc38e487cd635b07e70a5fd850643ba1cf27259,smol-constraints,19697,0-255,144,0.918002
369240311911fef5910d4f2876f0d18e914dc7be7099d41d14cd30517d0a6a01,smol-constraints,20277,0-255,224,0.948752
be077065812492146e985e3c90d6fce83406118b36371e1864fe512dc48de5d8,smol-constraints,21117,0-255,245,0.941071
d5311cdf50df0fa62d12e43e6775f3d02adf74a1f35683a69f84ea1dbe57fbc5,smol-constraints,22115,0-255,185,0.964436
d01424c25090d40de1f2e1529f88037db2e23de5bbb94f9592057373db486a3e,smol-constraints,22583,0-255,139,0.93696
119642a16e9e61530dee1681321d117608830489a4e8c6c881cc3d1cdeb4d528,smol-constraints,23706,0-255,158,0.98511
c5e458f483353a0f3ed1656ccdee06c1c4b9b7e8203cd20e05c73d84c1a2f635,smol-constraints,24009,512-1023,515,0.923503
f9639fe03aebddb4c4031618816a4448e24d3bad3966a7d187a738c49a1a06bb,smol-constraints,24408,0-255,197,0.947252
5eb891f2df59d759377ed5625e77bb697f43ad9407c9b0f38a581e89741ae62b,smol-constraints,25269,0-255,105,0.861302
2e5c3f305312a1dd170572a26e7d6c0fe8555befb91c8ed662b2d4068d4454af,smol-constraints,25522,0-255,127,0.873328
9c028d0ea653700b3a3374bde69df4840687b47c993f835feaf02ce88ce2ee3f,smol-constraints,25824,0-255,155,0.888635
896b42206e82c24c6c5d8a3f287757505f69a8519c6f5cfad16eb935249275ad,smol-constraints,26346,256-511,371,0.914174
c1551ebc58507dff808e0dc230dbb6838cd5fd43132377eba1c47653b7712e89,smol-constraints,26454,0-255,154,0.931316
2a2504006cecfc852ccc25b9612aabdaaad2d1885b48900fc7dd62657becab33,smol-constraints,26501,0-255,197,0.967591
7e17fb96996e788e3844ff3fd7cb40410193688b427da4bc8c65bfb8583419e3,smol-constraints,26526,0-255,175,0.867025
3045bb8cbb1e6e0ce6a092c7a64d6769f72b0a8bc91df942c1bca21362a64566,smol-constraints,26738,0-255,119,0.778832
5d9fc77e2669847e3a2a08c53bb1a34878aee03074af7a7a6f02fc9aa718d3f7,smol-constraints,27324,256-511,499,0.923459
ca5c47f80091c4706dbd1e1f9413b43b3b59ac7851a469eb5f405a989e54db73,smol-constraints,28242,0-255,146,0.958626
a814d4d3d1a4aaf6d49e572b412d3b0cc4c5264d0db57fb724a65fe855b104a7,smol-constraints,28789,0-255,183,0.971259
848487b177606ccb9d7f3deed6d5aed20557e01d211caed9769ec9717a1581a0,smol-constraints,29683,0-255,143,0.940521
86a9a2ce3fd4070c769e83bd5f7527e4bc7aa0d2fe8419443dd7d5e776133108,smol-constraints,29686,512-1023,512,0.921276
a3a287e1007fa253f4faaa31132349776b89fdbd796a69579394c7fa3dd4362d,smol-constraints,30333,0-255,155,0.953676
996f57afecd0c195ea4379af75add5965bb5b7e13df2df2504b2f2828e8d4dda,smol-constraints,30573,0-255,116,0.919435
5e3daf7296fb1467e9556bde9fbc859b77d71228ce5d5b84d568b99476677c6c,smol-constraints,30963,0-255,222,0.960472
564216b8d55353d965344457e1f4958414ff9110b25092aa793ce7a88b78c7e3,smol-constraints,31458,0-255,185,0.928327
0928220a883eddee6ea89e89bbef5448e3276d75daf4e67fd3d733ea338cf992,smol-constraints,31555,256-511,296,0.93882
7478bbc1711e2d4daacc6dcfef7cd7e80db9c2a059b87c0d378829f7294faa1d,smol-constraints,31764,0-255,160,0.894494
e8e2e119f3123bb11403fff43a5085ea255d879294cf56a3460477394f7adb21,smol-constraints,32596,0-255,186,0.959602
4c0be69cbb802bba89b54f4c096309aff189fa44add1c0baa053db673a2ae024,smol-constraints,33295,0-255,119,0.774043
5943e23b5bafa17f254dfaf280f52ec4ef63e607cc225eb7a21928fe2b19c0b7,smol-constraints,34266,0-255,168,0.929049
9c9ae2843a3ec77a8ead69447e33b1b4ab025b5c28f0afac576d7bf4bd1ec107,smol-magpie-ultra,610,1536-2048,1688,0.838001
4a9064a803769d0719915d6a2fc07a4b025b5fad98a5a50c08cc04e67171ee83,smol-magpie-ultra,832,1536-2048,1549,0.779345
963968b558ee4916e0b4efb265bb8fe9e92d85832eb1679c5129a9ec43e505ef,smol-magpie-ultra,1006,1024-1535,1425,0.889846
cccd4846225cd044552891443852e1c132183cb30b22cc7bcc4f852cef887c1b,smol-magpie-ultra,1078,1024-1535,1229,0.866529
c5ac8aa4f1557a31861a456afc8d38332c4ff4d344a0f0c40b45618dadf12577,smol-magpie-ultra,1406,1024-1535,1401,0.838902
ac0823304de206ffab2fb6c5fd762f996c9a06b470adba541e74afb61fbd1271,smol-magpie-ultra,1482,512-1023,888,0.898133
3f28d2e9948a6fbfe59dd07fa74fb152bae635f57abc41cdc0255e993d8682ed,smol-magpie-ultra,1803,1024-1535,1149,0.878663
c54f5b2e7ef8304380e376db4690fcf77d99fc9a70c9e4b1f9a3828737e70dd5,smol-magpie-ultra,2088,1024-1535,1535,0.861628
591dd5e8608f5df1f6a5474bc835b6927791a5a7f6deda6d7fa9b7b83e26a766,smol-magpie-ultra,2380,1536-2048,1780,0.831998
15ef9fbef65a67773438e2aadb7bf534da449f86135d99989ff0d91d820ea13b,smol-magpie-ultra,3085,1536-2048,1779,0.835627
7c93f936510b36e425f20dabd95be9fe0b2a9abb7990bcbc68155039a0dd74c2,smol-magpie-ultra,3747,1024-1535,1503,0.892319
9bb2a6dde1121e3f9edb524095e5e1bac2706fc8b1aa29e0a3b4e1c56dcb3883,smol-magpie-ultra,4101,512-1023,948,0.870046
74455c21f052038a68fcf57c66213ac5d699182a3965edd0994dd9ba2fc2b376,smol-magpie-ultra,4551,1536-2048,1831,0.831015
2afdb2a84ccc225fe39c5efcea1aa9d5a4d4e621374f7f74965791f5d3360b3a,smol-magpie-ultra,4719,512-1023,1022,0.86625
764f5d1229b36da23305210bc662dc8921327ca32d01ab32d6a54b730a457c15,smol-magpie-ultra,5080,1024-1535,1216,0.904731
99c1ec60ad179e288b8fa629e799067ea1c53e90697c44ef34f4d7f453563bc5,smol-magpie-ultra,5167,512-1023,647,0.916094
5fdb03c7e9f7838b3cea45b0e098cc1ab013e94481d7df87250b70afb8c3eec2,smol-magpie-ultra,5509,512-1023,871,0.846949
8361a0625fbe4402d4160b3129bc87ec29bd12186de4083fc3f0dc9e867e6a9b,smol-magpie-ultra,5619,512-1023,745,0.904555
6b75f0e5e234547a4cab78daced233088b25359ed59a19890c69e2cbbd9c426e,smol-magpie-ultra,5657,1024-1535,1355,0.884792
3419dcc52ab14580ec822882d6235feebbb8e1db7126bf34b11a1410a45043ca,smol-magpie-ultra,7582,1536-2048,1578,0.829293
